id,place_name,category,description,location,facts,rules,spooky,distance_from_pune_km,best_time_to_visit,map_link
96,Pagdandi Books Chai Cafe,Book Cafe,"It offers book rentals, sales, and a curated selection of independent publishers. The cafe serves organic tea, specialty coffee, homemade cakes, fresh juices, wholesome snacks, and piping hot Adrak Chai","Baner, Pune","The name Pagdandi (meaning unpaved path  in Marathi) reflects its ethos an offbeat, creative space blending a bookstore, cafe, library, and community hub under one roof","The space encourages quiet reading or relaxed conversation, often described as cozy and homely",FALSE,13,Anytime,https://maps.app.goo.gl/jQc5eKf3ehg3U9ny8
97,The Urban Foundry,Hotel,"Themed around a metal foundry, the interiors feature exposed brick walls, metal gear installations, Edison-bulb lighting, oil-barrel tables, and vintage industrial decor.","Baner-Balewadi,Pune","Presentation is part of the experience: dishes are served in mason jars, enamel plates, copper mugs, or even pressure-cooker-style containers",Smoking is only permitted in outdoor areas; indoor seating is strictly non-smoking. ,FALSE,15,Anytime,https://shorturl.at/61aIQ
98,Cafe Kathaa,Book Cafe,"Designed for readers, with bookshelves stocked with fiction and non-fiction, plus Kindle tablets on every table for free reading ","FC Road, Pune","Set in a converted bungalow along F.C. Road, Cafe Kathaa features vibrant interiors, vertical greenery walls, mismatched decor, and shaded outdoor seating perfect for readers and creatives.","Its cafe culture is loosely governed by common courtesy, book cafe etiquette, and space-sharing norms especially during busy hours.",FALSE,3.8,Anytime,https://shorturl.at/QM8JP
99,The Daily All Day,Cafe,"Trendy European Asian cafe by day, transforming into a lively restaurant-bar at night with themed decor inspired by newsprint, a monochrome palette, and botanical touches","Koregaon Park, Pune","Spread across - 4,000 sq ft with capacity for - 120 guests; divided into indoor and marquee-style outdoor seating with hanging bulb decor and greenery",Smoking or vaping indoors is prohibited by law and the venue enforces this strictly.,FALSE,4,Evening,https://shorturl.at/RPr42
100,Yogi Tree Cafe,Cafe,This cafe is tucked amidst greenery and offers serene open-air seating under trees  for a peaceful breakfast or brunch. ,"Koregaon Park, Pune","A health-focused cafe tucked inside a quiet lane near German Bakery, Yogi Tree offers a peaceful, leafy ambiance ideal for brunch or light conversation. It's known for its open-air greenery-lined seating and wholesome menu.",Pets are welcome in the outdoor seating area only. Smoking (tobacco) is allowed in designated outdoor areas only,FALSE,4.5,Morning,https://shorturl.at/OZ6iK
101,Waari Book Cafe,Book Cafe,"Waari Book Cafe is a serene and creatively-charged space in Kothrud perfect for bibliophiles, solo workers, and cozy leisure","Kothrud, Pune","Blending an extensive book collection, inviting ambiance, simple grub, and community events, it's a standout in Pune's cafe culture.",A cover charge of 60 per person allows up to two hours of stay. This entry fee is redeemable against beverages or food purchases.,FALSE,9,Anytime,https://shorturl.at/WQ7dS
102,Harihar Fort Trek,Fort Trek,"A hill fort in Nashik district famous for its near-vertical, rock-cut staircase leading to the top, originally guarding the Gonda Ghat trade route and dating back to the Yadava period","Nashik, Maharashtra; base villages: Harshewadi ","he staircase is carved into a near-vertical scarp (often described as 60–80°), with handholds and narrow sections allowing only single-file passage.","Check for monsoon restrictions, as local authorities sometimes impose bans or crowd controls on peak weekends",FALSE,260,Monsoon Night,https://maps.app.goo.gl/zWx9yBzdWRsPtinY8
103,Bhimashankar,Temple,"A major Jyotirlinga temple dedicated to Lord Shiva, set within the Bhimashankar Wildlife Sanctuary in the Sahyadris, known for dense forests, monsoon landscapes, and trekking routes.","Pune district, Manchar.",On the Bhimashankar plateau amidst a biodiversity hotspot known for the Indian giant squirrel (Malabar giant squirrel). Trails and viewpoints around the temple area offer valley views.,Photography may be restricted near the sanctum; follow on-site notices and priest instructions.,FALSE,110,Monsoon ,https://www.google.com/maps/search/?api=1&query=Bhimashankar%20Temple%20Maharashtra
104,Hadshi Temple ,Temple,"A scenic temple complex dedicated primarily to Lord Vitthal-Rukmini (Pandurang), developed by the Satwale family, set amidst landscaped gardens and a lakeside near Hadashi village in Mulshi taluka","Paud–Mulshi region,",Architecture blends contemporary construction with traditional motifs focused on Vitthal-Rukmini devotion.,Maintain silence near the sanctum; photography is usually fine in open areas but avoid flash or photography in sanctum if restricted.,FALSE,40,Monsoon ,https://www.google.com/maps/search/?api=1&query=Hadshi%20Temple%20Pandurang%20Temple%20Mulshi%20Pune
106,Kalu Waterfall,Waterfall Trek,The waterfall originates from the Harishchandragad plateau and descends through forested valleys,Malshej ghat,"Waterfall is at its most majestic, surrounded by vibrant green landscapes","Stay away from cliff edges, carry back all trash, Wear good trekking shoes, carry rain gear, water & first-aid",FALSE,120,"Monsoon,Morning",https://maps.app.goo.gl/7gdPnPRd5iXDti2j9
107,Kataldhar Waterfall,Waterfall Trek,Kataldhar is a waterfall near Lonavala in Pune district in the Indian state of Maharashtra,Lonavala,"This waterfall is not so famous because reaching the valley is somewhat difficult and requires basic trekking experience. Water is not available there for the whole year, but a good amount of water falls during the monsoon season.","Avoid solo trekking—dense forest & confusing trails,Not suitable for kids/elderly due to steep descent",FALSE,80,Monsoon,https://maps.app.goo.gl/R1m4rH3dgkP3shPVA
108,Devkund Waterfall,Waterfall Trek,"A plunge waterfall dropping into a natural blue-green pool, surrounded by dense forest","Bhira village, Raigad District",Devkund is often called Maharashtra’s “Andharban Jewel” because of its turquoise plunge pool and hidden jungle vibe,Swimming under the waterfall is restricted/dangerous due to sudden gushes and whirlpools.,FALSE,110,Monsoon,https://maps.app.goo.gl/gds4tu1k8E64wtTE9
109,Waghbill Waterfall,Waterfall Trek, This uniquely carved cave is made even more magical by a scenic waterfall that cascades right at its entrance — a true visual treat and the highlight of the trek.,Savaroli,"he trail to Waghbil takes you deep into the dense forest, winding through refreshing water streams where you can take a break, soak your feet, or even enjoy a splash to rejuvenate your senses.",Participants must fill out and submit an online disclaimer form with accurate details. Carrying an ID card is mandatory for safety purposes. Participants under 18 years of age require parental consent.,FALSE,139,Monsoon,https://maps.app.goo.gl/22NHuyQ6HUZCj71g8
110,Vajrai Waterfall,Waterfall Trek,"Considered a spiritual site by locals, linked to Sant Ramdas Swami","Satara District, Pune",Vajrai is India’s second-highest plunge waterfall (~853 ft / 260 m),Trekking routes are restricted during heavy rains by the Forest Dept. (landslide & flood risk).,FALSE,145,Monsoon,https://maps.app.goo.gl/tgQnKTrk2jRqXTSu6
111,Bhaje Waterfall,Waterfall Trek,"Flows down rocky steps, creating small natural pools—very popular for quick dips (though caution is needed), Surrounded by lush greenery, hills, and historic caves carved into basalt rock.","Lonavala,",A seasonal monsoon-fed waterfall that forms beside the famous Bhaje (Bhaja) Buddhist Caves (2nd century BC).,"Swimming/bathing in the waterfall is not officially allowed, but people still attempt—it can be slippery",FALSE,60,Monsoon,https://maps.app.goo.gl/ob7hd8ycMyEUdghC8
112,Bhivpuri Waterfall,Waterfall Trek,"Famous as a weekend trekking and rappelling spot (adventure groups often conduct waterfall rappelling here), Surrounded by lush greenery, hills, and small villages","Wavarle, Mumbai","A popular monsoon waterfall near Karjat, cascading down from rocky cliffs into pools","Trek is easy, but rocks get slippery in rains—wear good grip shoes,Swimming/bathing allowed, but avoid deep spots during heavy flow",FALSE,110,Monsoon,https://maps.app.goo.gl/dhbfZenjXEKy14kz8
113,Aadrai Waterfall,Waterfall Trek,"Aadrai waterfall is a part of the Aadrai jungle trek, located in the Malshej Ghat region of Maharashtra","Junnar, Pune","It's known for its dense forest, numerous streams, and a large, approximately 1,200-foot waterfall. The trek is popular for its lush greenery, diverse flora and fauna, and the refreshing experience of being surrounded by nature","Avoiding swimming in the waterfall or dam, adhering to the trek leader's instructions, and maintaining a safe distance from the edge of the waterfall",FALSE,123,Monsoon,https://maps.app.goo.gl/qtLDoAfNxrdzhPNV9
114,Kune falls,Waterfall Trek,"A three-tiered waterfall surrounded by the lush Sahyadri ranges,Fed by rainwater streams during the monsoon, forming a spectacular cascade.",Lonavala,"14th highest waterfall in India, Scenic backdrop of Western Ghats valleys, making it a favorite for photography and sightseeing","Entry may be restricted in heavy rains for safety reasons,Bathing/swimming near the falls is not recommended—slippery rocks and strong currents",FALSE,70,Monsoon,https://maps.app.goo.gl/kK41LcScJThwYEBa7
115,Naneghat Reverse Waterfall,Waterfall Trek,"Naneghat was an ancient trading route connecting the old sea ports of Sopara , Kalyan & Thana to the economic hubs in Junnar"," Junnar,Pune","Naneghat is usually done as a one day trek, however if you plan to do the nearby Jivdhan fort on top of the Naneghat plateau you can stay at the top where many homestays have cropped up owing to the popularity of the reverse waterfall","Begin your trek early in the day to finish before sunset, particularly during the monsoon. Avoid venturing off marked trails and stay away from cliff edges.  Consider hiring a local guide, especially if you are new to the region or the trek. ",FALSE,126,Monsoon,https://maps.app.goo.gl/zzVeA5RsghbqGwBa6
116,Bendewadi Waterfall,Waterfall Trek,"A cluster of waterfalls in the Western Ghats,Surrounded by thick forests, hills, and small hamlets, making it a hidden monsoon gem.","khandi,maval,pune","Main Bendewadi Waterfall – tallest and most popular,Small cascades – forming natural streams and pools,Secret waterfall spots – less crowded, within forest trails.","Trek only in daytime; return before dark,Rocks and trails get very slippery in rains—wear good grip trekking shoes,Avoid swimming in deep pools during heavy flow.",FALSE,45,Monsoon,https://maps.app.goo.gl/bM1ycJ7cGUUv3EAx7
117,Necklace Waterfall,Waterfall Trek,"The waterfall is named for its shape, which resembles a necklace, with water cascading down the mountain in a flowing, pearl-like pattern. ",Bhandardara,Necklace Falls is one of several enchanting seasonal waterfalls in Bhandardara.,"The waterfall is active only during the monsoon months (June–September). Avoid visiting in summer/winter, as it dries up. Being a natural spot, visitors are expected to carry back plastic bottles, wrappers, or food waste.",FALSE,175,Monsoon,https://maps.app.goo.gl/SWLzRGU7orw61GkF6
118,Thokarwadi Dam ,Dam,"The dam creates a vast reservoir surrounded by rolling Sahyadri hills—very scenic, especially in monsoon,Popular with nature lovers, bikers, and campers, as it’s peaceful and less crowded compared to Pawna Dam.","Kamshet, Pune","An earthfill dam built on the Andra River,Constructed in 1980, it supplies drinking water and irrigation to nearby village","Swimming in backwaters is not safe—deep and unpredictable currents,Boating/camping only with local permission,Visit in daytime only; return before dark.,Carry your own food/water; limited facilities nearby,Maintain cleanliness—eco-sensitive area",FALSE,60,Monsoon,https://maps.app.goo.gl/eJXpFmk6EEySHMC98
119,World Peace Dome,Heritage Site,"Inside the dome are bronze statues of over 50 great saints, scientists, philosophers, and leaders","Pune district, Manchar.","The World Peace Dome (WPD) is the largest dome structure in the world, standing 263 ft high and 160 ft in diameter.","Maintain silence inside the dome—treated as a meditation & prayer space,Photography is generally allowed, but avoid flash inside",FALSE,10,Morning,https://maps.app.goo.gl/mefSGLhHFfcvZWbC9
120,Samrad Reverse Waterfall,Waterfall Trek,"Lies near Sandhan Valley (also called the Valley of Shadows), which is a famous trekking and camping destination in the Western Ghats.",Bhandardara,"The waterfall appears to flow upwards instead of downwards. This happens due to powerful monsoon winds that push the falling water back up, creating a gravity-defying illusion.","Do not stand near cliff edges—winds are very strong, and visibility is often reduced due to fog and mist. Always watch your footing, as rocks are slippery.",FALSE,180,Monsoon,https://maps.app.goo.gl/qFYQEg8BR8pAqaaB8
121,Satsada Waterfall,Waterfall Trek,The name “Satsada” refers to seven visible cascades or stages of flowing water creating a multiphase waterfall experience,Ranwadi,"The waterfall flows in seven visible stages, giving it its unique identity. Suitable even for beginners and families.","Do not damage plants, trees, or disturb wildlife, Respect nearby villagers’ land and privacy. ",FALSE,170,Monsoon,https://maps.app.goo.gl/XcimigCMzsYMCTgR7
122,Ganpati Gadad Waterfall,Waterfall Trek,"The trek combines lush greenery, waterfalls, caves, and history. You can actually sit inside the caves and watch the waterfall pour down from the entrance","Daheri, Murbad","Locals believe these caves were once used by sadhus and monks for meditation. Idols of Lord Ganesha are enshrined inside. The site has 7 ancient caves, carved in basalt rock.","Carry a raincoat / poncho, avoid umbrellas. Always trek in groups, not alone. Follow the designated path; avoid shortcuts.",FALSE,175,Monsoon,https://maps.app.goo.gl/owa2ezYjpUEixAop9
123,Kumbhe Waterfall,Waterfall Trek,"The waterfall plunges dramatically from a cliff, forming a mesmerizing cascade framed by dense greenery and nearby mountains","Raigad District, Pune","It is a tiered/step waterfall, where water flows down multiple levels over rocky formations. Surrounded by dense green hills and forests, especially beautiful in monsoon.",Stick to the marked trails from Kumbhe village. Avoid climbing directly on waterfall rocks. Depth of pools varies – check before entering. ,FALSE,130,Monsoon,https://maps.app.goo.gl/ixuF7jhBpMDaaokv7
124,Randha Waterfall,Waterfall Trek,Randha Waterfall plunges from a height of about 170 feet (52 meters) into a deep gorge carved by the Pravara River.,Bhandardara,"It is formed by the Pravara River, which originates in the Sahyadri ranges. The force of the waterfall is harnessed for hydroelectricity generation in the region.",Avoid visiting in heavy rains or late evenings (risk of flash floods & low visibility). Do not attempt to climb down into the gorge – very dangerous due to strong currents.,FALSE,162,Monsoon,https://maps.app.goo.gl/SPLRLGDzk9Ac5VQN9
125,Lingya Ghat Waterfall,Waterfall Trek,"The waterfall is named after a distinctive rock pinnacle called ""Lingya"", considered sacred by locals.","Mulshi Taluka, Pune District","It is a hidden waterfall located about 13–14 km ahead of Lavasa City in Mulshi Taluka, Pune district. Reached by a moderate trek through forests, streams, and lush valleys.","Do not attempt to climb directly under the main waterfall (risk of injury from strong current). Do not throw plastic, bottles, or wrappers in forest streams. Avoid bonfires and alcohol – it disturbs wildlife.",FALSE,70,Monsoon,https://maps.app.goo.gl/1Xre5nmPBvSmbp6M9
